,Carpet Area,Super Area,Chennai,Delhi,Hyderabad,Kolkata,Mumbai,Semi-Furnished,Unfurnished,Bachelors/Family,Family,Contact Builder,Contact Owner,BHK,Size,Bathroom,0,0
76,0,1,0,0,0,1,0,0,1,1,0,0,1,2,500,1,6.0,92
77,1,0,0,0,0,1,0,1,0,1,0,0,1,1,450,1,6.0,24
78,0,1,0,0,0,1,0,0,1,0,0,0,1,2,700,1,5.0,92
79,0,1,0,0,0,1,0,0,1,1,0,0,1,1,500,1,5.0,12
80,0,1,0,0,0,1,0,1,0,1,0,0,1,3,1800,2,6.0,92
81,1,0,0,0,0,1,0,1,0,1,0,0,1,1,500,1,5.0,13
82,1,0,0,0,0,1,0,0,0,1,0,0,1,2,480,2,5.0,93
83,0,1,0,0,0,1,0,1,0,1,0,0,1,6,1000,2,6.0,11
84,0,1,0,0,0,1,0,0,0,1,0,0,1,2,800,1,6.0,12
85,0,1,0,0,0,1,0,0,1,1,0,0,1,1,435,1,5.0,23
86,1,0,0,0,0,1,0,1,0,1,0,0,0,2,700,2,5.0,92
87,0,1,0,0,0,1,0,0,0,1,0,0,0,2,800,1,6.0,44
88,0,1,0,0,0,1,0,0,1,1,0,0,1,2,450,1,6.0,13
89,1,0,0,0,0,1,0,1,0,1,0,0,0,2,550,1,5.0,23
90,1,0,0,0,0,1,0,0,1,0,0,0,0,2,800,2,6.0,94
91,1,0,0,0,0,1,0,1,0,0,1,0,1,2,550,2,6.0,92
92,0,1,0,0,0,1,0,0,0,1,0,0,1,1,600,1,5.0,24
93,0,1,0,0,0,1,0,0,1,1,0,0,1,1,500,1,6.0,91
94,0,1,0,0,0,1,0,0,0,1,0,0,1,2,1000,2,4.0,12
95,1,0,0,0,0,1,0,0,1,1,0,0,1,1,300,1,5.0,12
96,0,1,0,0,0,1,0,0,0,1,0,0,1,2,1200,2,6.0,13
97,1,0,0,0,0,1,0,1,0,1,0,0,1,2,500,1,6.0,34
98,0,1,0,0,0,1,0,0,1,0,1,0,1,4,1200,2,4.0,12
99,1,0,0,0,0,1,0,1,0,1,0,0,0,2,900,2,6.0,12
100,1,0,0,0,0,1,0,0,1,1,0,0,0,3,1300,3,6.0,92
101,1,0,0,0,0,1,0,0,1,1,0,0,0,4,1600,3,6.0,15
102,0,1,0,0,0,1,0,0,1,0,1,0,1,3,1450,2,5.0,91
103,0,1,0,0,0,1,0,0,0,0,0,0,0,2,1100,2,7.0,22
104,1,0,0,0,0,1,0,0,1,1,0,0,1,2,950,2,6.0,91
105,1,0,0,0,0,1,0,0,1,1,0,0,1,1,600,1,6.0,85
106,1,0,0,0,0,1,0,0,1,1,0,0,1,2,700,2,7.0,92
107,0,1,0,0,0,1,0,0,1,0,1,0,1,3,750,1,5.0,92
108,0,1,0,0,0,1,0,0,1,1,0,0,1,2,1000,1,5.0,91
109,0,1,0,0,0,1,0,0,0,1,0,0,1,1,220,1,4.0,92
110,1,0,0,0,0,1,0,1,0,0,0,0,0,1,300,1,5.0,13
111,1,0,0,0,0,1,0,0,1,1,0,0,0,1,300,1,6.0,91
112,0,1,0,0,0,1,0,1,0,1,0,0,1,1,700,1,7.0,12
113,0,1,0,0,0,1,0,0,1,1,0,0,1,3,800,2,7.0,91
114,0,1,0,0,0,1,0,0,1,1,0,0,1,3,1600,2,4.0,13
115,1,0,0,0,0,1,0,0,1,1,0,0,1,2,1000,2,5.0,13
116,0,1,0,0,0,1,0,0,1,1,0,0,1,1,20,1,5.0,23
117,1,0,0,0,0,1,0,0,1,1,0,0,1,2,400,1,6.0,92
118,0,1,0,0,0,1,0,0,0,1,0,0,1,1,200,1,6.0,22
119,1,0,0,0,0,1,0,0,1,0,0,0,1,3,840,2,6.0,14
120,1,0,0,0,0,1,0,0,1,1,0,0,0,1,300,1,6.0,11
121,1,0,0,0,0,1,0,0,0,1,0,0,0,2,550,2,7.0,12
122,1,0,0,0,0,1,0,0,1,1,0,0,0,1,300,1,7.0,12
123,0,1,0,0,0,1,0,0,1,1,0,0,1,2,800,2,5.0,11
124,1,0,0,0,0,1,0,0,1,0,0,0,1,2,740,1,5.0,96
125,0,1,0,0,0,1,0,0,1,1,0,0,1,2,1300,2,4.0,11
126,0,1,0,0,0,1,0,1,0,1,0,0,1,2,650,1,6.0,91
127,0,1,0,0,0,1,0,1,0,1,0,0,1,2,490,1,5.0,11
128,0,1,0,0,0,1,0,0,0,1,0,0,1,1,250,1,6.0,22
129,0,1,0,0,0,1,0,0,0,1,0,0,1,1,250,1,6.0,91
130,0,1,0,0,0,1,0,0,1,1,0,0,1,1,450,1,5.0,12
131,1,0,0,0,0,1,0,1,0,1,0,0,1,1,300,1,6.0,91
132,0,1,0,0,0,1,0,0,1,1,0,0,1,2,750,2,6.0,13
133,0,1,0,0,0,1,0,0,0,1,0,0,1,1,250,1,7.0,12
134,1,0,0,0,0,1,0,0,1,0,0,0,1,2,751,1,6.0,33
135,1,0,0,0,0,1,0,1,0,0,0,0,1,2,900,1,6.0,92
136,1,0,0,0,0,1,0,1,0,1,0,0,1,2,400,1,6.0,13
137,1,0,0,0,0,1,0,1,0,1,0,0,0,2,1000,2,6.0,92
138,1,0,0,0,0,1,0,0,1,1,0,0,1,2,1000,1,6.0,91
139,1,0,0,0,0,1,0,1,0,0,1,0,1,3,1500,2,5.0,11
140,1,0,0,0,0,1,0,0,1,1,0,0,1,2,750,2,4.0,13
141,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1200,1,5.0,24
142,0,1,0,0,0,1,0,0,1,1,0,0,1,2,700,1,5.0,91
143,1,0,0,0,0,1,0,0,0,1,0,0,1,2,700,1,5.0,44
144,0,1,0,0,0,1,0,1,0,1,0,0,1,2,1000,1,5.0,92
145,0,1,0,0,0,1,0,0,1,1,0,0,1,2,1200,2,6.0,13
146,0,1,0,0,0,1,0,0,0,1,0,0,1,2,550,1,6.0,23
147,1,0,0,0,0,1,0,0,1,0,0,0,1,2,800,1,6.0,94
148,0,1,0,0,0,1,0,0,1,0,0,0,1,2,280,1,6.0,13
149,0,1,0,0,0,1,0,0,1,1,0,0,1,3,1100,3,7.0,92
150,0,1,0,0,0,1,0,0,1,1,0,0,0,2,950,1,5.0,92
151,0,1,0,0,0,1,0,0,0,1,0,0,1,1,250,1,5.0,12
152,1,0,0,0,0,1,0,0,1,0,0,0,1,2,1000,1,5.0,92
153,1,0,0,0,0,1,0,1,0,1,0,0,1,3,1000,2,6.0,92
154,0,1,0,0,0,1,0,0,1,1,0,0,1,2,650,1,5.0,92
155,0,1,0,0,0,1,0,0,1,1,0,0,1,2,700,2,6.0,12
156,1,0,0,0,0,1,0,0,1,0,0,0,1,2,700,1,5.0,93
157,0,1,0,0,0,1,0,1,0,1,0,0,1,3,1000,2,6.0,93
158,1,0,0,0,0,1,0,0,1,0,0,0,1,2,900,2,5.0,14
159,0,1,0,0,0,1,0,0,1,1,0,0,1,1,700,1,5.0,12
160,0,1,0,0,0,1,0,0,1,1,0,0,1,2,700,2,7.0,12
161,1,0,0,0,0,1,0,1,0,1,0,0,1,2,450,2,6.0,21
162,0,1,0,0,0,1,0,0,1,1,0,0,1,1,120,1,5.0,93
163,0,1,0,0,0,1,0,1,0,1,0,0,1,2,800,2,6.0,12
164,1,0,0,0,0,1,0,0,1,1,0,0,1,3,1220,2,6.0,23
165,0,1,0,0,0,1,0,0,1,1,0,0,1,3,1100,1,6.0,93
166,1,0,0,0,0,1,0,0,1,0,1,0,1,3,700,2,6.0,93
167,0,1,0,0,0,1,0,0,0,1,0,0,1,2,800,1,5.0,93
168,0,1,0,0,0,1,0,0,1,0,1,0,1,2,670,1,6.0,22
169,0,1,0,0,0,1,0,0,1,1,0,0,1,4,1300,3,4.0,12
170,0,1,0,0,0,1,0,1,0,1,0,0,1,1,190,1,5.0,92
171,0,1,0,0,0,1,0,1,0,1,0,0,1,2,700,1,5.0,92
172,1,0,0,0,0,1,0,0,1,0,0,0,1,1,240,1,6.0,94
173,1,0,0,0,0,1,0,1,0,0,1,0,1,2,850,1,5.0,24
174,0,1,0,0,0,1,0,0,1,1,0,0,1,1,950,2,5.0,12
175,1,0,0,0,0,1,0,0,0,1,0,0,1,1,450,1,6.0,12
176,1,0,0,0,0,1,0,0,1,0,0,0,1,2,800,1,6.0,92
177,1,0,0,0,0,1,0,0,1,1,0,0,1,2,600,1,7.0,12
178,1,0,0,0,0,1,0,0,1,0,0,0,1,3,800,2,5.0,22
179,1,0,0,0,0,1,0,0,1,1,0,0,1,3,1100,2,7.0,92
180,1,0,0,0,0,1,0,0,0,1,0,0,1,2,800,1,6.0,92
181,0,1,0,0,0,1,0,0,0,1,0,0,1,1,2200,3,5.0,25
182,1,0,0,0,0,1,0,0,1,0,0,0,1,2,950,2,6.0,11
183,1,0,0,0,0,1,0,0,1,1,0,0,1,2,550,1,4.0,23
184,1,0,0,0,0,1,0,0,1,0,0,0,1,2,1800,2,6.0,11
185,0,1,0,0,0,1,0,0,0,1,0,0,1,2,1000,1,5.0,92
186,0,1,0,0,0,1,0,1,0,1,0,0,1,2,600,2,5.0,93
187,1,0,0,0,0,1,0,1,0,1,0,0,1,2,750,2,4.0,24
188,0,1,0,0,0,1,0,0,1,1,0,0,0,2,685,1,5.0,23
189,1,0,0,0,0,1,0,0,0,1,0,0,1,1,44,1,5.0,91
190,1,0,0,0,0,1,0,0,1,1,0,0,1,4,1200,1,6.0,92
191,1,0,0,0,0,1,0,0,1,0,0,0,1,2,500,1,5.0,92
192,1,0,0,0,0,1,0,0,1,1,0,0,1,4,1110,2,4.0,22
